trade_date,top_n,cash,holdings_value,equity,turnover,gross_return,net_return,cost,benchmark_return
20230804,10,-1.7462298274040222e-10,1020926.7339786267,1020926.7339786266,1.996958593163484,0.005538163977834687,0.0030407170128978755,2541.980928541906,0.0038939732067337918
20230807,10,0.0,1022869.6281062382,1022869.6281062382,2.2918053112211826e-16,0.0019030691066732608,0.0019030691066732608,3.7997214135336673e-13,-0.007567591256503525
20230808,10,-1.793662034335766e-43,1012554.6731026117,1012554.6731026117,6.394488601871038e-33,-0.010084330123990348,-0.010084330123990348,8.180000222768142e-30,-0.0026116541743724797
20230809,10,0.0,995799.2565058124,995799.2565058124,7.289854379633046e-49,-0.016547666058819632,-0.016547666058819632,1.012861547282302e-45,-0.003057240886710888
20230810,10,0.0,992065.9934410421,992065.9934410421,0.0,-0.003749011701284055,-0.003749011701284055,0.0,0.002054509400374771
20230811,10,1.7462298274040222e-10,971025.0762523051,971025.0762523052,1.9974769057792523,-0.018711095869821004,-0.021209191049634923,2478.275276272428,-0.023005362102520133
20230814,10,1.2924697071141057e-26,977058.1895632206,977058.1895632206,2.3802831436722957e-16,0.0062131385259383,0.0062131385259383,2.017036881096622e-13,-0.007298107039246493
20230815,10,-2.152394441202919e-42,970522.6076665869,970522.6076665869,1.993304599073084e-32,-0.006689040598037876,-0.006689040598037876,1.789127938935401e-29,-0.0024301421655470445
20230816,10,-1.9050428841219475e-42,948691.8594187333,948691.8594187333,2.553110862030579e-49,-0.02249380702252879,-0.02249380702252879,4.336240670089659e-46,-0.007331766087599334
20230817,10,-1.9050428841219475e-42,954238.4196263755,954238.4196263755,0.0,0.005846535049895518,0.005846535049895518,0.0,0.0033436050038371246
20230818,10,1.1641532182693481e-10,954845.6296291847,954845.6296291848,1.9975538877097696,0.0031345208991606643,0.0006363294437956579,2383.870266291513,-0.012293333550503327
20230821,10,1.2924697071141057e-26,953024.7691236822,953024.7691236822,5.45502500742465e-16,-0.0019069684658972186,-0.0019069684658972186,5.931772762068034e-13,-0.014389203308939669
20230822,10,0.0,972721.0075128643,972721.0075128643,4.583291348849479e-32,0.02066707920644406,0.02066707920644406,4.81616095137344e-29,0.007687807258506707
20230823,10,0.0,942232.0027179194,942232.0027179194,0.0,-0.031344038588106304,-0.031344038588106304,0.0,-0.016388897839622385
20230824,10,0.0,946570.3112174842,946570.3112174842,0.0,0.004604289057313471,0.004604289057313471,0.0,0.007248594457784918
20230825,10,1.7462298274040222e-10,922797.805138921,922797.8051389211,1.9957799164936303,-0.02261838555158724,-0.02511435843364529,2362.613827760105,-0.0038345296364294956
20230828,10,-2.5849394142282115e-26,920437.0244423569,920437.0244423569,8.981323335065088e-16,-0.0025582859900807886,-0.0025582859900807886,9.491562693696136e-13,0.011719040771505762
20230829,10,-2.6904930515036488e-43,964523.29007394,964523.29007394,3.1370344056325e-32,0.047897101551616306,0.047897101551616306,4.9042250870247126e-29,0.009989635506334471
20230830,10,-2.6904930515036488e-43,995301.2666919426,995301.2666919426,0.0,0.031910039845324256,0.031910039845324256,0.0,-0.0004213601690948865
20230831,10,-2.6904930515036488e-43,987475.1986574564,987475.1986574564,0.0,-0.00786301424140401,-0.00786301424140401,0.0,-0.006134839776179013
20230901,10,-8.731149137020111e-11,970561.4271968589,970561.4271968588,1.9876010433992397,-0.014642555839291638,-0.017128300015628928,2454.6107243402103,0.006964551100455463
20230904,10,2.5849394142282115e-26,985519.1222804987,985519.1222804987,9.170402013543998e-16,0.015411384240604065,0.015411384240604065,1.1567889484385966e-12,0.015155118914689902
20230905,10,-1.4349296274686127e-42,972738.8211720806,972738.8211720806,2.951641641094828e-32,-0.012968090440340196,-0.012968090440340196,2.3448268055616078e-29,-0.0074395061907376325
20230906,10,-1.4349296274686127e-42,972352.2039157758,972352.2039157758,0.0,-0.00039745227381693393,-0.00039745227381693393,0.0,-0.002169741184331997
20230907,10,-1.4349296274686127e-42,963254.275131251,963254.275131251,0.0,-0.009356618669538075,-0.009356618669538075,0.0,-0.014048557824190344
20230908,10,0.0,969535.5460249161,969535.5460249161,1.9887778853144362,0.009008101524992318,0.006520885560366896,2395.8214111000743,-0.004917446832422567
20230911,10,-2.5849394142282115e-26,984736.9291034917,984736.9291034917,8.356626044959067e-16,0.015679036360142895,0.015679036360142895,1.0132623806184872e-12,0.007364800471401978
20230912,10,0.0,982775.5954288578,982775.5954288578,3.199760211411901e-32,-0.0019917336464871926,-0.0019917336464871926,5.233739132246849e-29,-0.0018399819298390296
20230913,10,0.0,962168.9173997701,962168.9173997701,0.0,-0.020967836528435035,-0.020967836528435035,0.0,-0.006369587147258882
20230914,10,0.0,949683.9313562339,949683.9313562339,0.0,-0.012975877538505931,-0.012975877538505931,0.0,-0.0008412880270631806
20230915,10,2.0372681319713593e-10,957756.367142373,957756.3671423732,2.0083383964733947,0.011011807687996367,0.008500128852987121,2385.301030335828,-0.006624092405112747
20230918,10,0.0,958944.5350305949,958944.5350305949,1.05026201311329e-15,0.0012405742514318696,0.0012405742514318696,1.1560835479591868e-12,0.005105295368828644
20230919,10,2.6904930515036488e-43,949135.5103547716,949135.5103547716,5.7727768796269636e-33,-0.010228980214700645,-0.010228980214700645,6.923177639656387e-30,-0.0019338677274068905
20230920,10,0.0,936197.2679038446,936197.2679038446,2.832553059760931e-49,-0.01363160719388834,-0.01363160719388834,2.0163575204873708e-46,-0.003981263711690941
20230921,10,0.0,922656.9265024635,922656.9265024635,0.0,-0.01446312851531606,-0.01446312851531606,0.0,-0.00897133915526327
20230922,10,-8.731149137020111e-11,924988.8242948069,924988.8242948068,1.9949647034634383,0.005022325909511904,0.0025273725535046587,2301.9859952207044,0.018104533524915034
20230925,10,0.0,930159.3789691015,930159.3789691015,1.2314673639125353e-15,0.005589856372844926,0.005589856372844926,1.4682568104689366e-12,-0.006506937126736667
20230926,10,1.793662034335766e-43,923106.1146416992,923106.1146416992,6.462393571720835e-33,-0.0075828556770769495,-0.0075828556770769495,7.51757877854648e-30,-0.005844741930343789
20230927,10,0.0,941118.6746459159,941118.6746459159,8.077444702579118e-49,0.019512989588643448,0.019512989588643448,8.427806130436069e-46,0.0020586029467195566
20230928,10,0.0,944652.8991768652,944652.8991768652,0.0,0.003755344173017372,0.003755344173017372,0.0,-0.002966576093198392
20231009,10,5.820766091346741e-11,923759.9757515268,923759.9757515269,1.983097998690813,-0.01963692476514478,-0.022117037319785537,2342.8455150264076,-0.001298272847189863
20231010,10,0.0,918647.1664218869,918647.1664218869,1.1835862957408213e-15,-0.005534781181096848,-0.005534781181096848,1.3382523555377616e-12,-0.007490730928465972
20231011,10,5.3809861030072976e-43,926303.6614600249,926303.6614600249,6.948505342189478e-33,0.008334532906643544,0.008334532906643544,7.983022440557414e-30,0.002849888214130125
20231012,10,-7.965459555662261e-59,918432.8764051836,918432.8764051836,1.60407484595464e-48,-0.008496981478444687,-0.008496981478444687,1.5890707340462935e-45,0.00949792535792926
20231013,10,-7.965459555662261e-59,898495.4650085419,898495.4650085419,0.0,-0.02170807677821618,-0.02170807677821618,0.0,-0.010526195241204572
